Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
445-3955-6-ND,TDK CORPORATION (VA),C3225X7R1C226M250AC,KODCONTROL,2,0,0,12 Weeks,CAP CER 22UF 16V 20% X7R 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Apr-2011
587-2409-6-ND,TAIYO YUDEN (VA),NRS5020T100MMGJ,KODCONTROL,1,0,0,5 Weeks,FIXED IND 10UH 1.45A 144 MOHM,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Nov-2009
3M11931-ND,3M,30316-6002HB,KODCONTROL,1,0,0,8 Weeks,CONN HEADER 16POS DL STR GOLD,,RoHS Compliant,Lead free,Not Available
296-32289-6-ND,TEXAS INSTRUMENTS (VA),SN74LVC1G04DBVT,KODCONTROL,3,0,0,6 Weeks,IC SINGLE INVERTER GATE SOT23-5,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
811-1119-ND,MURATA POWER SOLUTIONS INC,78SR-5/2-C,KODCONTROL,1,0,0,12 Weeks,REGULATOR SW SYNC 5V 2A SIP,,RoHS Compliant,Lead free,Unaffected Jul-2011
ISL3281EIHZ-TDKR-ND,INTERSIL (VA),ISL3281EIHZ-T,KODCONTROL,1,0,0,8 Weeks,IC RCVR ESD RS485/422 LP SOT23-6,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
ADM2914-2ARQZ-ND,ANALOG DEVICES INC,ADM2914-2ARQZ,KODCONTROL,1,0,0,5 Weeks,IC MONITOR 4CH UV/OV 16-QSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected May-2011
P4.70KCDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF4701V,KODCONTROL,10,0,0,7 Weeks,RES SMD 4.7K OHM 1% 1/8W 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
P1.00KCDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF1001V,KODCONTROL,6,0,0,7 Weeks,RES SMD 1K OHM 1% 1/8W 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
4610X-1-103LF-ND,BOURNS INC,4610X-101-103LF,KODCONTROL,1,0,0,10 Weeks,RES ARRAY 10K OHM 9 RES 10SIP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
3M11965-ND,3M,89116-0103,KODCONTROL,1,0,0,2 Weeks,CONN SOCKET 16 POS IDC W/STR REL,,RoHS Compliant,Lead free,Not Available
P100KCDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF1003V,KODCONTROL,1,0,0,7 Weeks,RES SMD 100K OHM 1% 1/8W 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
P300CDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF3000V,KODCONTROL,2,0,0,7 Weeks,RES SMD 300 OHM 1% 1/8W 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
P20.0KCDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF2002V,KODCONTROL,3,0,0,7 Weeks,RES SMD 20K OHM 1% 1/8W 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
490-1658-6-ND,MURATA ELECTRONICS (VA),GRM21BR72A223KA01L,KODCONTROL,10,0,0,11 Weeks,CAP CER 0.022UF 100V X7R 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
WM7203-ND,MOLEX INC,0740991003,KODCONTROL,13,0,0,8 Weeks,CONN HEADER .100 VERT 3POS SMD,,RoHS Compliant,Lead free,Unaffected Dec-2009
WM10647-ND,MOLEX CONNECTOR CORPORATION,14-56-2032,KODCONTROL,11,0,0,6 Weeks,CONN IDC 3POS .100 GOLD 24AWG,,RoHS Compliant,Lead free,Unaffected Jun-2014
S9341-ND,SULLINS CONNECTOR SOLUTIONS,NPC02SXON-RC,KODCONTROL,2,0,0,2-4 Weeks,CONN JUMPER SHORTING .100" GOLD,,RoHS Compliant,Lead free,Unaffected Dec-2013
1276-2607-6-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21C220JCANNNC,KODCONTROL,2,0,0,10 Weeks,CAP CER 22PF 100V 5% NP0 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2014
