Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
P15449DKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEH-ZA1J560P,KOD DRIVER,6,0,0,13 Weeks,CAP ALUM 56UF 63V 20% SMD,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
445-8782-6-ND,TDK CORPORATION (VA),CGA4J3X7S2A105K125AE,KOD DRIVER,5,0,0,16 Weeks,CAP CER 1UF 100V 10% X7S 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
732-3298-6-ND,WURTH ELECTRONICS INC (VA),7447786008,KOD DRIVER,2,0,0,10 Weeks,FIXED IND 8.2UH 2.3A 80 MOHM SMD,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Sep-2011
MRFE6VP100HR5CT-ND,FREESCALE SEMICONDUCTOR (VA),MRFE6VP100HR5,KOD DRIVER,1,0,0,8 Weeks,TRANS RF H-CH FET LDMOS NI780,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
490-1658-6-ND,MURATA ELECTRONICS (VA),GRM21BR72A223KA01L,KOD DRIVER,12,0,0,11 Weeks,CAP CER 0.022UF 100V X7R 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
1276-2447-6-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21B104KCC5PNC,KOD DRIVER,5,0,0,10 Weeks,CAP CER 0.1UF 100V 10% X7R 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2014
732-4060-6-ND,WURTH ELECTRONICS INC (VA),7440450015,KOD DRIVER,2,0,0,10 Weeks,FIXED IND 1.5UH 1.75A 90 MOHM,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
WM9357-ND,MOLEX INC,0732511350,KOD DRIVER,2,0,0,8 Weeks,CONN SMA JACK STR 50 OHM SMD,,RoHS Compliant,Lead free,Not Available
475-1278-6-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LS R976-NR-1,KOD DRIVER,1,0,0,10 Weeks,LED CHIPLED 633NM RED 0805 SMD,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
RHC2512FT2R49DKR-ND,STACKPOLE ELECTRONICS INC (VA),RHC2512FT2R49,KOD DRIVER,1,0,0,9 Weeks,RES SMD 2.49 OHM 1% 2W 2512,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2014
490-1614-6-ND,MURATA ELECTRONICS (VA),GRM2195C2A102JA01D,KOD DRIVER,2,0,0,12 Weeks,CAP CER 1000PF 100V 5% NP0 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
1276-2607-6-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21C220JCANNNC,KOD DRIVER,2,0,0,10 Weeks,CAP CER 22PF 100V 5% NP0 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2014
ES2BFSDKR-ND,FAIRCHILD SEMICONDUCTOR (VA),ES2B,KOD DRIVER,1,0,0,6 Weeks,DIODE GEN PURP 100V 2A DO214AA,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
BC547BTACT-ND,FAIRCHILD SEMICONDUCTOR (VA),BC547BTA,KOD DRIVER,1,0,0,6 Weeks,TRANS NPN 45V 0.1A TO-92,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
