Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
490-5614-6-ND,MURATA ELECTRONICS (VA),GCJ32DR72J223KXJ1L,KODIAK TR,9,0,0,18 Weeks,CAP CER 0.022UF 630V X7R 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
445-3955-6-ND,TDK CORPORATION (VA),C3225X7R1C226M250AC,KODIAK TR,3,0,0,12 Weeks,CAP CER 22UF 16V 20% X7R 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Apr-2011
311-1475-6-ND,YAGEO (VA),CC0805KRX7R0BB103,KODIAK TR,12,0,0,16 Weeks,CAP CER 10000PF 100V X7R 0805,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2014
475-1278-6-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LS R976-NR-1,KODIAK TR,2,0,0,10 Weeks,LED CHIPLED 633NM RED 0805 SMD,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
445-6103-6-ND,TDK CORPORATION (VA),C3225X7R2J683K200AM,KODIAK TR,1,0,0,12 Weeks,CAP CER 0.068UF 630V X7R 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Apr-2011
ES2BFSDKR-ND,FAIRCHILD SEMICONDUCTOR (VA),ES2B,KODIAK TR,5,0,0,6 Weeks,DIODE GEN PURP 100V 2A DO214AA,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
P6SMB550CALFDKR-ND,LITTELFUSE INC (VA),P6SMB550CA,KODIAK TR,1,0,0,7-9 Weeks,TVS DIODE 495VWM 760VC SMD,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free by exemption,Not Available
1465-1228-6-ND,M/A-COM TECHNOLOGY SOLUTIONS (VA),MA4P4006F-1091T,KODIAK TR,2,0,0,15 Weeks,DIODE PIN CERAMIC SI,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
1465-1235-6-ND,M/A-COM TECHNOLOGY SOLUTIONS (VA),MA4P7006F-1072T,KODIAK TR,2,0,0,10 Weeks,DIODE PIN SMQ CERAMIC SI,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Dec-2013
296-14960-6-ND,TEXAS INSTRUMENTS (VA),SN75451BDR,KODIAK TR,1,0,0,6 Weeks,IC DUAL PERIPHERAL DRVR 8-SOIC,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
497-6220-6-ND,STMICROELECTRONICS (VA),L6388ED013TR,KODIAK TR,1,0,0,12 Weeks,IC DRIVER HI/LO SIDE HV 8-SOIC,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
497-4332-6-ND,STMICROELECTRONICS (VA),STD2NK90ZT4,KODIAK TR,2,0,0,10 Weeks,MOSFET N-CH 900V 2.1A DPAK,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
490-5341-6-ND,MURATA ELECTRONICS (VA),LQH32PN220MN0L,KODIAK TR,6,0,0,8 Weeks,FIXED IND 22UH 450MA 810 MOHM,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jul-2011
587-2409-6-ND,TAIYO YUDEN (VA),NRS5020T100MMGJ,KODIAK TR,2,0,0,5 Weeks,FIXED IND 10UH 1.45A 144 MOHM,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Nov-2009
P100VDKR-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-14YJ101U,KODIAK TR,3,0,0,9 Weeks,RES SMD 100 OHM 5% 1/2W 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
HVC1206T1005JETDKR-ND,OHMITE (VA),HVC1206T1005JET,KODIAK TR,1,0,0,12 Weeks,RES SMD 10M OHM 5% 1/4W 1206,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Not Available
